id,Author list,title,Year,m_control,n_control,sd_control,se_control,m_treatment,n_treatment,sd_treatment,se_treatment,m_Measure,m_Location,Species,Treatment_Type,Treatment_Overall,Treatment_Name,Sex,Dose (compared to AL),Treatment_length,Age_on_treatment,Strain,Other Variables,notes
24,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,709,50,,,851,39,,,mean,table 5,mice,Metformin,Metformin,Males,male,100 mg/kg in drinking water,"day 3, 5 and 7",3 days,129/Sv mice,None,cant use error as not sure if SD or SE
25,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,758,35,,,689,30,,,mean,table 5,mice,Metformin,Metformin,Females,female,100 mg/kg in drinking water,"day 3, 5 and 7",3 days,129/Sv mice,None,cant use error as not sure if SD or SE
26,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,745,50,,,889,30,,,median,table 5,mice,Metformin,Metformin,Males,male,100 mg/kg in drinking water,"day 3, 5 and 7",3 days,129/Sv mice,None,
27,"Anisimov, V. N. and Popovich, I. G. and Zabezhinski, M. A. and Egormin, P. A. and Yurova, M. N. and Semenchenko, A. V. and Tyndyk, M. L. and Panchenko, A. V. and Trashkov, A. P. and Vasiliev, A. G. and Khaitsev, N. V.","Sex differences in aging, life span and spontaneous tumorigenesis in 129/Sv mice neonatally exposed to metformin",2015,821,35,,,708,30,,,median,table 5,mice,Metformin,Metformin,Females,female,100 mg/kg in drinking water,"day 3, 5 and 7",3 days,129/Sv mice,None,
28,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Antoch, M. P. and Blagosklonny, M. V.",Rapamycin extends maximal lifespan in cancer-prone mice,2010,296,28,31.21986547,5.9,308,30,70.65620992,12.9,mean,table 2,mice,Rapamycin,Rapamycin,Rapamycin,female,1.5 mg/kg,"life (2 weeks rapa, 2 weeks no rapa)",2 months,FVB/N HER-2/neu transgenic mice,Breast Cancer Gene,
29,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Antoch, M. P. and Blagosklonny, M. V.",Rapamycin extends maximal lifespan in cancer-prone mice,2010,288,28,,,327,30,,,median,table 2,mice,Rapamycin,Rapamycin,Rapamycin,female,1.5 mg/kg,"life (2 weeks rapa, 2 weeks no rapa)",2 months,FVB/N HER-2/neu transgenic mice,Breast Cancer Gene,
30,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Rosenfeld, S. V. and Blagosklonny, M. V.",Rapamycin increases lifespan and inhibits spontaneous tumorigenesis in inbred female mice,2011,723,31,,,754,35,,,mean,table 4,mice,Rapamycin,Rapamycin,Rapamycin,female,1.5 mg/kg,life (2 weeks per month),2 months,29/Sv mice ,None,cant use error as not sure if SD or SE
31,"Anisimov, V. N. and Zabezhinski, M. A. and Popovich, I. G. and Piskunova, T. S. and Semenchenko, A. V. and Tyndyk, M. L. and Yurova, M. N. and Rosenfeld, S. V. and Blagosklonny, M. V.",Rapamycin increases lifespan and inhibits spontaneous tumorigenesis in inbred female mice,2011,759,31,,,836,35,,,median,table 4,mice,Rapamycin,Rapamycin,Rapamycin,female,1.5 mg/kg,life (2 weeks per month),2 months,29/Sv mice ,None,
32,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,859.9,20,101.9054774,22.78675747,920.2,20,129.6434787,28.98916313,mean,figure 1c + Table S1,mice,Rapamycin,Rapamycin,All Mice,female,2 mg/kg,life,20 months,C57BL/6J.Nia,None,all mice
33,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,859.9,20,101.9054774,22.78675747,972,14,120.1127675,32.10148742,mean,figure 1a + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice w/ Dermitits,female,2 mg/kg,life,20 months,C57BL/6J.Nia,None,exclude mice with dermitits
34,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,859.9,20,101.9054774,22.78675747,939.4,17,131.2012094,31.82096733,mean,figure 1b + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice Ethanised,female,2 mg/kg,life,20 months,C57BL/6J.Nia,None,exclude mice euthanised
35,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,897,20,,,917.5,20,,,median,figure 1c,mice,Rapamycin,Rapamycin,All Mice,female,2 mg/kg,life,20 months,C57BL/6J.Nia,None,all mice
36,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,897,20,,,960,14,,,median,figure 1a + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice w/ Dermitits,female,2 mg/kg,life,20 months,C57BL/6J.Nia,None,exclude mice with dermitits
37,"Arriola Apelo, S. I. and Pumper, C. P. and Baar, E. L. and Cummings, N. E. and Lamming, D. W.",Intermittent Administration of Rapamycin Extends the Life Span of Female C57BL/6J Mice,2016,897,20,,,930,17,,,median,figure 1a + Table S1,mice,Rapamycin,Rapamycin,Exclude Mice Ethanised,female,2 mg/kg,life,20 months,C57BL/6J.Nia,None,exclude mice euthanised
38,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,731.4,52,120.7426788,16.74399691,882.53,51,137.2171058,19.21423804,mean,supp matt 3,mice,Rapamycin,Rapamycin,Continuous,male,42 mg/kg,life,6 months,C3B6F1,None,did not use female all cohorts as censored
39,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,731.4,52,120.7426788,16.74399691,847,52,137.094071,19.01152703,mean,supp matt 3,mice,Rapamycin,Rapamycin,Intermittent,male,42 mg/kg,life,6 months,C3B6F1,None,did not use female all cohorts as censored
40,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,816.37,52,140.6218722,19.50074502,994.78,51,165.8578082,23.22473856,mean,supp matt 3,mice,Rapamycin,Rapamycin,Continuous,female,42 mg/kg,life,6 months,C3B6F1,None,did not use female all cohorts as censored
41,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,816.37,52,140.6218722,19.50074502,936.82,51,194.0413055,27.17121756,mean,supp matt 3,mice,Rapamycin,Rapamycin,Intermittent,female,42 mg/kg,life,6 months,C3B6F1,None,did not use female all cohorts as censored
42,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,718,52,,,923,51,,,median,Figure2,mice,Rapamycin,Rapamycin,Continuous,male,42 mg/kg,life,6 months,C3B6F1,None,
43,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,718,52,,,850,52,,,median,Figure2,mice,Rapamycin,Rapamycin,Intermittent,male,42 mg/kg,life,6 months,C3B6F1,None,
44,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,837,52,,,1046,51,,,median,Figure2,mice,Rapamycin,Rapamycin,Continuous,female,42 mg/kg,life,6 months,C3B6F1,None,
45,"Baghdadi, Maarouf and Nespital, Tobias and Monzo, Carolina and Deelen, Joris and Groenke, Sebastian and Partridge, Linda",Intermittent rapamycin feeding recapitulates some effects of continuous treatment while maintaining lifespan extension,2024,837,52,,,957,51,,,median,Figure2,mice,Rapamycin,Rapamycin,Intermittent,female,42 mg/kg,life,6 months,C3B6F1,None,
46,"Bartke, Andrzej; Wright, J. Chris; Mattison, Julie A.; Ingram, Donald K.; Miller, Richard A.; Roth, George S.",Extending the lifespan of long-lived mice,2001,722.9814,26,,,909.3168,27,,,median,fig1,mice,Percent Reduction,Dietary restriction,Wild-type,mixed,70%,life,2 months,WT,None,
47,"Bartke, Andrzej; Wright, J. Chris; Mattison, Julie A.; Ingram, Donald K.; Miller, Richard A.; Roth, George S.",Extending the lifespan of long-lived mice,2001,996.2733,21,,,1226.087,24,,,median,fig1,mice,Percent Reduction,Dietary restriction,Ames Dwarf,mixed,70%,life,2 months,Ames dwarf,None,
48,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,313,32,17,3.00520382,357,31,23,4.130921947,mean,Fig 2 + 818 + Table 1 for SS,mice,Fasted,Dietary restriction,1 day fast,male,1day,life,10.5 months,p53+/– mice,Genetic Suceptibility,
49,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,313,32,17,3.00520382,388,31,23,4.130921947,mean,Fig 2 + 818 + Table 1 for SS,mice,Percent Reduction,Dietary restriction,CR,male,60%,life,10.5 months,p53+/– mice,Genetic Suceptibility,
50,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,43,32,,,51,31,,,median,Fig 2 + 818 + Table 1 for SS,mice,Fasted,Dietary restriction,1 day fast,male,1day,life,10.5 months,p53+/– mice,Genetic Suceptibility,
51,"Berrigan, D. and Perkins, S. N. and Haines, D. C. and Hursting, S. D.",Adult-onset calorie restriction and fasting delay spontaneous tumorigenesis in p53-deficient mice,2002,43,32,,,55,31,,,median,Fig 2 + 818 + Table 1 for SS,mice,Percent Reduction,Dietary restriction,CR,male,60%,life,10.5 months,p53+/– mice,Genetic Suceptibility,
52,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,127,8,5.656854249,2,134,7,15.87450787,6,mean,table 1,mice,Rapamycin,Rapamycin,Rapa,mixed,2.24 mg,life,40-50 days,G93AGur disease model of ALS,Amyotrophic lateral sclerosis (ALS),lifespan taken as death
53,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,232,38,12.32882801,2,232,16,8,2,mean,table 1,mice,Rapamycin,Rapamycin,Rapa,mixed,2.24 mg,life,40-50 days,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),lifespan taken as death
54,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,232,38,12.32882801,2,265,19,17.43559577,4,mean,table 1,mice,Percent Reduction,Dietary restriction,DR,mixed,60%,life,40-50 days,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),lifespan taken as death
55,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,136,38,,,142,16,,,median,table 1 for ss + Fig 1C,mice,Rapamycin,Rapamycin,Rapa,mixed,2.24 mg,life,40-50 days,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),
56,"Bhattacharya, A. and Bokov, A. and Muller, F. L. and Jernigan, A. L. and Maslin, K. and Diaz, V. and Richardson, A. and Van Remmen, H.",Dietary restriction but not rapamycin extends disease onset and survival of the H46R/H48Q mouse model of ALS,2012,136,38,,,195,19,,,median,table 1 for ss + Fig 1C,mice,Percent Reduction,Dietary restriction,DR,mixed,60%,life,40-50 days,H46R/H48Q model disease model of ALS,Amyotrophic lateral sclerosis (ALS),
57,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,19.7015,24,,,21.49255,25,,,median,fig1,mice,Rapamycin,Rapamycin,Rapa,female,14ppm,life,8 weeks,Ercc1∆/− mice,progeroid DNA repair-deficient mice,
58,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,19.7015,24,,,41.19404,25,,,median,fig1,mice,Percent Reduction,Dietary restriction,DR 30%,female,70%,life,8 weeks,Ercc1∆/− mice,progeroid DNA repair-deficient mice,
59,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,21.30045,25,,,19.59642,25,,,median,fig1,mice,Rapamycin,Rapamycin,Rapa,female,14ppm,life,4 weeks,Ercc1∆/− mice,progeroid DNA repair-deficient mice,
60,"Birkisdottir, M. B. and Jaarsma, D. and Brandt, R. M. C. and Barnhoorn, S. and van Vliet, N. and Imholz, S. and van Oostrom, C. T. and Nagarajah, B. and Portilla Fernandez, E. and Roks, A. J. M. and Elgersma, Y. and van Steeg, H. and Ferreira, J. A. and Pennings, J. L. A. and Hoeijmakers, J. H. J. and Vermeij, W. P. and Dolle, M. E. T.","Unlike dietary restriction, rapamycin fails to extend lifespan and reduce transcription stress in progeroid DNA repair-deficient mice",2021,26.08,10,,,24.57,10,,,median,fig2,mice,Rapamycin,Rapamycin,Rapa 42ppm,female,42%,life,8 weeks,Ercc1∆/− mice,progeroid DNA repair-deficient mice,not using control - m
